id,an,materie,liceu,judet,medie,procent_reusita,numar_candidati,preferinta_materie,anomalie
1,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEHNOLOGIC AGRICOL ""MIHAIL KOGALNICEANU"", MIROSLAVA",Iași,10.0,100.0,1,2.9,0
2,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEORETIC GATAIA,Timiș,10.0,100.0,1,1.3,0
3,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE SINCAI"" CLUJ-NAPOCA",Cluj,9.85,100.0,2,1.7,0
4,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""ORBAN BALAZS"" CRISTURU SECUIESC",Harghita,9.8,100.0,1,1.8,1
5,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE MUNTEANU MURGOCI""",Brăila,9.77,100.0,6,3.4,0
6,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",Sibiu,9.73,100.0,19,16.2,0
7,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL PEDAGOGIC ""GHEORGHE LAZAR"" CLUJ-NAPOCA",Cluj,9.7,100.0,1,0.9,0
8,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL ECOLOGIC ""PROF.UNIV.DR. ALEXANDRU IONESCU"" PITESTI",Argeș,9.7,50.0,2,6.7,1
9,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""COSTACHE NEGRI"", LOCALITATEA GALATI",Galați,9.65,100.0,28,18.1,0
10,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL ""RICHARD WURMBRAND"", IASI",Iași,9.64,100.0,5,17.9,0
11,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ROMAN VODA"", MUNICIPIUL ROMAN",Neamț,9.59,100.0,55,19.2,0
12,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC BAPTIST ""EMANUEL"" ORADEA",Bihor,9.59,100.0,15,26.8,0
13,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMISOARA",Timiș,9.58,100.0,15,10.3,0
14,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC ADVENTIST ""STEFAN DEMETRESCU""",București,9.54,100.0,5,6.0,0
15,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""EMIL RACOVITA"" CLUJ-NAPOCA",Cluj,9.54,100.0,19,24.1,0
16,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ECATERINA TEODOROIU"" TG-JIU",Gorj,9.54,100.0,85,39.9,0
17,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""SERBAN VODA"", ORASUL SLANIC",Prahova,9.52,100.0,3,2.5,0
18,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEHNOLOGIC ""PAUL BUJOR"", ORAS BERESTI",Galați,9.5,100.0,1,3.2,1
19,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL, IASI",Iași,9.5,100.0,60,40.5,0
20,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL PEDAGOGIC ""BOD PETER"" TARGU SECUIESC",Covasna,9.5,100.0,1,1.3,0
21,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL ""GHEORGHE TATARESCU"" ROVINARI",Gorj,9.5,100.0,30,15.4,0
22,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ANDREI SAGUNA"" BRASOV",Brașov,9.5,100.0,4,2.8,0
23,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""VLADIMIR STREINU"" GAESTI",Dâmbovița,9.49,100.0,10,4.5,0
24,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL ""KOROSI CSOMA SANDOR"" COVASNA",Covasna,9.49,100.0,15,13.6,0
25,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""VASILE ALECSANDRI"", IASI",Iași,9.49,100.0,28,19.3,0
26,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC BAPTIST ""EMANUEL"" CLUJ-NAPOCA",Cluj,9.47,100.0,5,11.6,0
27,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""OCTAVIAN GOGA"" SIBIU",Sibiu,9.46,100.0,40,18.6,0
28,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""RADU NEGRU"" FAGARAS",Brașov,9.46,100.0,18,11.8,0
29,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEOLOGIC PENTICOSTAL ""BETEL"" ORADEA",Bihor,9.42,100.0,11,21.2,0
30,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES",Alba,9.4,100.0,10,5.1,0
31,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""DINICU GOLESCU"" CAMPULUNG",Argeș,9.4,100.0,6,3.3,0
32,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""DR. LIND"" CAMPENITA",Mureș,9.38,100.0,3,75.0,0
33,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEHNOLOGIC ""VASILE SAV"", MUNICIPIUL ROMAN",Neamț,9.36,100.0,4,1.9,0
34,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""NICOLAE BALCESCU"" CLUJ-NAPOCA",Cluj,9.36,100.0,30,24.0,0
35,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""ARANY JANOS"" SALONTA",Bihor,9.36,100.0,4,10.5,0
36,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""MIHAI VITEAZUL""",București,9.36,100.0,26,9.5,0
37,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEOLOGIC BAPTIST TIMISOARA,Timiș,9.35,100.0,3,6.1,0
38,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""CONSTANTIN CARABELLA"" TARGOVISTE",Dâmbovița,9.34,100.0,26,15.3,0
39,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL VOCATIONAL PEDAGOGIC ""NICOLAE BOLCAS"" BEIUS",Bihor,9.31,100.0,29,31.5,0
40,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""TRAIAN DODA"" CARANSEBES",Caraș-Severin,9.29,100.0,6,4.8,0
41,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GH. ROSCA CODREANU"", MUN. BARLAD",Vaslui,9.29,100.0,27,13.2,0
42,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",LICEUL TEOLOGIC REFORMAT SFANTU GHEORGHE,Covasna,9.28,100.0,2,3.5,0
43,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMISOARA",Timiș,9.26,100.0,5,8.5,0
44,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE LAZAR"" SIBIU",Sibiu,9.25,100.0,38,21.1,0
45,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",București,9.25,100.0,2,0.9,0
46,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""SILVANIA"" ZALAU",Sălaj,9.23,100.0,126,47.2,0
47,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""FRATII BUZESTI"" CRAIOVA",Dolj,9.23,100.0,62,25.7,0
48,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA",Cluj,9.23,100.0,23,19.0,0
49,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","LICEUL TEORETIC ""BOLYAI FARKAS"" TIRGU MURES",Mureș,9.23,100.0,79,34.5,0
50,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL ENERGETIC, MUN. RM. VALCEA",Vâlcea,9.22,100.0,10,6.0,0
51,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA",Alba,9.21,100.0,4,2.0,0
52,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""GHEORGHE LAZAR""",București,9.2,100.0,24,8.7,0
53,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"", LOCALITATEA GALATI",Galați,9.2,100.0,31,20.1,0
54,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",Iași,9.19,100.0,62,40.8,0
55,2014,"ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA","COLEGIUL NATIONAL ""UNIREA"" TIRGU MURES",Mureș,9.19,100.0,48,32.0,0
