iter	MAE
0	132.3676111
1	127.7941533
2	123.3279614
3	119.044017
4	114.6063357
5	110.5912188
6	106.7083962
7	103.0739298
8	99.70114387
9	96.57540285
10	93.60417445
11	90.31470214
12	87.2458383
13	84.29184065
14	81.61396539
15	78.93321807
16	76.29653358
17	73.72859311
18	71.54734879
19	69.16992471
20	66.85660987
21	64.62541024
22	62.47075849
23	60.42174698
24	58.43292214
25	56.57671601
26	54.80567762
27	52.99992757
28	51.34119099
29	49.67372242
30	48.13185037
31	46.55901915
32	45.12772738
33	43.86974549
34	42.44437428
35	41.21537396
36	39.99031652
37	38.66123353
38	37.45604824
39	36.24451687
40	35.06712734
41	33.91312286
42	32.8038349
43	31.75474894
44	30.78363065
45	29.85882057
46	28.94983688
47	28.13880239
48	27.35033738
49	26.60969837
50	25.83231808
51	25.1212428
52	24.4550425
53	23.75933503
54	23.13825917
55	22.4744236
56	21.86669513
57	21.28592923
58	20.70777288
59	20.15608032
60	19.60752837
61	19.10784402
62	18.62897208
63	18.18005277
64	17.72562666
65	17.28145434
66	16.88340726
67	16.49699135
68	16.09056794
69	15.70201098
70	15.28967632
71	14.91852994
72	14.60412863
73	14.3059142
74	14.01325384
75	13.70560735
76	13.38212627
77	13.14926507
78	12.91129768
79	12.64294122
80	12.36398623
81	12.07390928
82	11.85019341
83	11.61894313
84	11.45323504
85	11.20067766
86	10.96149173
87	10.71015734
88	10.48052687
89	10.26923375
90	10.04252916
91	9.842218225
92	9.645301103
93	9.497227757
94	9.357214724
95	9.180346042
96	9.024409489
97	8.855819059
98	8.699710242
99	8.534333443
100	8.443596674
101	8.28468935
102	8.134916851
103	7.990493983
104	7.869184484
105	7.804565888
106	7.667566577
107	7.533517547
108	7.39723519
109	7.268688366
110	7.149998361
111	7.047890699
112	6.958136786
113	6.873238449
114	6.797892014
115	6.712941853
116	6.620084905
117	6.537208907
118	6.440094486
119	6.350262919
120	6.283713572
121	6.221957651
122	6.137624135
123	6.076680356
124	6.010913405
125	5.944041889
126	5.869367977
127	5.821499806
128	5.742347392
129	5.68357118
130	5.638144255
131	5.599230107
132	5.553583139
133	5.506774979
134	5.434477437
135	5.383800715
136	5.344977364
137	5.289468693
138	5.254971186
139	5.211108428
140	5.160684873
141	5.115472128
142	5.07232586
143	5.037763261
144	4.995167436
145	4.9691258
146	4.928436211
147	4.904028285
148	4.87254819
149	4.838494651
150	4.830675199
151	4.803238037
152	4.75720673
153	4.736614334
154	4.704928128
155	4.680659424
156	4.657214085
157	4.638462844
158	4.617231761
159	4.586457183
160	4.566610428
161	4.54909495
162	4.517376149
163	4.496239231
164	4.470914892
165	4.452453357
166	4.42931707
167	4.403604156
168	4.388476038
169	4.372248869
170	4.352246615
171	4.334971995
172	4.325375781
173	4.308453744
174	4.276812659
175	4.26527504
176	4.252010985
177	4.234770876
178	4.223579746
179	4.200413125
180	4.182755915
181	4.168178024
182	4.151483064
183	4.145047388
184	4.124003351
185	4.106205653
186	4.093428366
187	4.071624662
188	4.057262882
189	4.040651193
190	4.01089374
191	3.991544295
192	3.974171731
193	3.958538175
194	3.940469125
195	3.925490635
196	3.92248247
197	3.917942081
198	3.909138907
199	3.895356799
200	3.891544472
201	3.884800038
202	3.87183365
203	3.859950119
204	3.852590832
205	3.844533546
206	3.835849408
207	3.821602709
208	3.815905518
209	3.804383781
210	3.793570318
211	3.780530443
212	3.770259545
213	3.760639605
214	3.753732285
215	3.742293856
216	3.729736424
217	3.721222422
218	3.713945982
219	3.703196519
220	3.694420291
221	3.683869386
222	3.673566444
223	3.668798825
224	3.65067753
225	3.639822692
226	3.632857088
227	3.62374418
228	3.611757317
229	3.60733844
230	3.597097791
231	3.591767631
232	3.584296322
233	3.577507341
234	3.562116189
235	3.553659276
236	3.543240761
237	3.536755036
238	3.530255272
239	3.519277772
240	3.509781675
241	3.504997974
242	3.497821834
243	3.486378965
244	3.479981591
245	3.470359573
246	3.460422239
247	3.455099162
248	3.446296754
249	3.438342687
250	3.429113532
251	3.419156697
252	3.412464509
253	3.407457821
254	3.395494002
255	3.388662326
256	3.383431383
257	3.379867549
258	3.372551852
259	3.361459264
260	3.358328554
261	3.353686295
262	3.344609158
263	3.340114618
264	3.332572345
265	3.326952685
266	3.32303953
267	3.31623927
268	3.311162819
269	3.306022425
270	3.296881603
271	3.29122212
272	3.283873105
273	3.275789543
274	3.269721776
275	3.26660364
276	3.261082439
277	3.256723077
278	3.250060337
279	3.244619825
280	3.238007218
281	3.232952591
282	3.227037258
283	3.222524867
284	3.21444346
285	3.206530248
286	3.202055959
287	3.19775416
288	3.189443947
289	3.186564901
290	3.181241541
291	3.175278725
292	3.171937185
293	3.165547658
294	3.158810671
295	3.154742375
296	3.149662212
297	3.145108717
298	3.14096819
299	3.136807084
300	3.131543258
301	3.126808357
302	3.12154829
303	3.11895138
304	3.114857918
305	3.110504756
306	3.10503583
307	3.099257056
308	3.0937784
309	3.088736937
310	3.082747356
311	3.078627729
312	3.072985047
313	3.069079579
314	3.065228599
315	3.05882284
316	3.053141941
317	3.046338194
318	3.042428203
319	3.037509954
320	3.034971755
321	3.029815902
322	3.027360307
323	3.021668219
324	3.017078997
325	3.013287086
326	3.011341476
327	3.008142524
328	3.004322719
329	3.00201469
330	2.99812469
331	2.994881418
332	2.988977266
333	2.983877224
334	2.978875428
335	2.974670115
336	2.970047877
337	2.966312008
338	2.961461796
339	2.958597672
340	2.955377753
341	2.953115299
342	2.949028895
343	2.945177964
344	2.940279283
345	2.936579385
346	2.931645155
347	2.925881855
348	2.922985235
349	2.919977381
350	2.917116505
351	2.912982871
352	2.910454938
353	2.906827304
354	2.903565248
355	2.899025677
356	2.895849741
357	2.892452415
358	2.88767105
359	2.884778331
360	2.87919905
361	2.876441009
362	2.874076691
363	2.871636375
364	2.867684783
365	2.862268004
366	2.856367283
367	2.854462104
368	2.85124248
369	2.847550578
370	2.843416588
371	2.841169425
372	2.838802265
373	2.836162746
374	2.832855732
375	2.831245749
376	2.82907919
377	2.826763046
378	2.824029444
379	2.81999612
380	2.817437362
381	2.815581835
382	2.811262325
383	2.809154838
384	2.805451246
385	2.802016138
386	2.799783861
387	2.795154756
388	2.793462417
389	2.789868009
390	2.786319582
391	2.783446621
392	2.780230526
393	2.776722965
394	2.77254434
395	2.768630019
396	2.765648028
397	2.762260867
398	2.759522654
399	2.757688913
400	2.755022313
401	2.751997907
402	2.748272338
403	2.746080123
404	2.743336076
405	2.742168438
406	2.74055187
407	2.737846613
408	2.734902424
409	2.731767093
410	2.72917716
411	2.725836193
412	2.72181417
413	2.719542846
414	2.716811462
415	2.715920282
416	2.713057068
417	2.708871815
418	2.705952572
419	2.703963549
420	2.699594391
421	2.696243766
422	2.693997597
423	2.691386211
424	2.688128645
425	2.686705338
426	2.685121397
427	2.682338214
428	2.679464939
429	2.677372896
430	2.675655903
431	2.672989753
432	2.670787166
433	2.668754316
434	2.667687773
435	2.665424579
436	2.662353242
437	2.660238907
438	2.656398604
439	2.653863022
440	2.651038474
441	2.649194137
442	2.646882356
443	2.645715559
444	2.64354912
445	2.64128773
446	2.639670321
447	2.636481747
448	2.634029017
449	2.631012121
450	2.62863928
451	2.625797935
452	2.62431565
453	2.622491903
454	2.619759463
455	2.617422758
456	2.615407794
457	2.613139143
458	2.610607259
459	2.608808729
460	2.606682059
461	2.603532504
