iter	Passed	Remaining
0	18	27063
1	47	35512
2	62	31386
3	83	31210
4	104	31227
5	116	28925
6	135	28869
7	157	29463
8	172	28545
9	182	27138
10	190	25837
11	201	25013
12	220	25182
13	240	25501
14	259	25733
15	269	24985
16	288	25172
17	308	25376
18	322	25102
19	335	24835
20	356	25079
21	376	25282
22	392	25221
23	412	25343
24	431	25487
25	446	25285
26	465	25372
27	484	25491
28	499	25338
29	518	25392
30	536	25400
31	554	25453
32	580	25787
33	599	25857
34	611	25586
35	630	25627
36	649	25684
37	669	25770
38	689	25823
39	702	25634
40	721	25678
41	741	25746
42	760	25776
43	780	25816
44	799	25847
45	811	25658
46	831	25697
47	851	25747
48	872	25840
49	894	25938
50	916	26028
51	936	26077
52	944	25782
53	963	25797
54	984	25866
55	1003	25882
56	1023	25905
57	1042	25914
58	1062	25943
59	1081	25949
60	1101	25994
61	1120	25999
62	1138	25961
63	1158	25990
64	1179	26036
65	1198	26037
66	1214	25967
67	1234	26007
68	1255	26040
69	1265	25850
70	1284	25852
71	1305	25902
72	1325	25912
73	1335	25738
74	1355	25751
75	1374	25760
76	1394	25768
77	1413	25778
78	1428	25700
79	1448	25704
80	1468	25722
81	1488	25737
82	1500	25623
83	1519	25619
84	1534	25542
85	1553	25534
86	1576	25610
87	1597	25627
88	1617	25638
89	1636	25638
90	1656	25643
91	1667	25520
92	1688	25548
93	1710	25580
94	1730	25593
95	1742	25489
96	1760	25470
97	1780	25475
98	1800	25477
99	1820	25491
100	1840	25499
101	1860	25505
102	1880	25508
103	1901	25528
104	1921	25530
105	1941	25530
106	1960	25528
107	1981	25536
108	2001	25538
109	2021	25545
110	2041	25549
111	2061	25553
112	2081	25543
113	2100	25533
114	2107	25385
115	2119	25291
116	2138	25279
117	2158	25278
118	2175	25251
119	2194	25233
120	2209	25176
121	2226	25150
122	2246	25151
123	2265	25142
124	2277	25050
125	2298	25059
126	2318	25066
127	2342	25103
128	2361	25099
129	2377	25057
130	2397	25053
131	2418	25064
132	2438	25062
133	2458	25057
134	2476	25044
135	2497	25045
136	2516	25032
137	2535	25026
138	2559	25061
139	2580	25063
140	2599	25057
141	2619	25047
142	2639	25046
143	2655	25009
144	2675	25004
145	2687	24926
146	2706	24913
147	2726	24908
148	2746	24902
149	2765	24892
150	2776	24802
151	2794	24785
152	2815	24783
153	2824	24690
154	2845	24687
155	2865	24684
156	2884	24677
157	2904	24668
158	2924	24664
159	2943	24653
160	2960	24625
161	2971	24541
162	2989	24524
163	3009	24517
164	3030	24517
165	3051	24520
166	3071	24514
167	3091	24511
168	3113	24521
169	3134	24521
170	3156	24529
