FightID,weapon_jedai,armour_jedai,weapon_calmtrooper,armour_calmtrooper,injuries,number_of_fights,force_level,accuracy_calmtrooper,fight_planet,weather_conditions,surprise_attack,moral_jedai,moral_calmtrooper,winner
640,Single Lightsaber,48.7%,Standard Blaster,79.2%,Jedai,151.4,28.1,75.0,Kamira,Storm,FALSE,26.8,73.4,0
6876,Ancient Jedai Blade,73.8%,Heavy Blaster,66.9%,Both,67.4,58.0,59.1,Corsavant,Storm,TRUE,53.9,64.7,0
7664,Ancient Jedai Blade,60.9%,Heavy Blaster,66.2%,Both,3.0,53.3,62.9,Tavooine,Sandstorm,FALSE,51.0,57.5,0
4463,Double Lightsaber,80.3%,Experimental Weapon,37.2%,Calmtrooper,45.8,81.7,47.4,Kamira,Sandstorm,TRUE,69.4,37.8,1
461,Single Lightsaber,54.9%,Standard Blaster,83.2%,Jedai,71.5,39.3,71.6,Kamira,Snow,TRUE,52.4,77.1,0
1695,Single Lightsaber,49.8%,Standard Blaster,80.6%,Both,2.1,28.2,37.9,Mustran,Clear,FALSE,38.6,72.3,0
767,Single Lightsaber,51.0%,Standard Blaster,73.8%,Both,17.6,27.5,67.7,Corsavant,Snow,TRUE,41.3,71.7,0
5373,Double Lightsaber,87.8%,Experimental Weapon,41.0%,Calmtrooper,12.3,78.1,74.8,Hroth,Clear,FALSE,100.0,26.0,1
5824,Double Lightsaber,83.5%,Experimental Weapon,30.6%,Calmtrooper,78.4,75.1,88.0,Tavooine,Sandstorm,FALSE,89.3,38.2,1
2122,Single Lightsaber,56.6%,Standard Blaster,82.9%,Jedai,221.8,27.1,70.6,Corsavant,Clear,FALSE,20.0,82.9,0
740,Single Lightsaber,50.0%,Standard Blaster,77.7%,Jedai,129.3,21.7,54.0,Corsavant,Storm,FALSE,37.6,65.0,0
4189,Double Lightsaber,81.1%,Experimental Weapon,45.9%,Calmtrooper,228.1,72.9,75.5,Hroth,Snow,TRUE,75.0,18.7,1
3640,Double Lightsaber,83.0%,Experimental Weapon,41.4%,Both,137.0,85.2,35.6,Kamira,Storm,FALSE,88.8,25.4,1
5006,Double Lightsaber,83.7%,Experimental Weapon,48.6%,Both,151.0,88.3,86.5,Mustran,Sandstorm,FALSE,84.6,32.6,1
8226,Ancient Jedai Blade,74.3%,Heavy Blaster,69.8%,Jedai,7.3,53.7,38.2,Eldor,Snow,FALSE,59.1,71.2,0
2814,Single Lightsaber,52.6%,Standard Blaster,82.5%,Jedai,55.3,33.5,61.2,Hroth,Clear,TRUE,47.3,56.8,0
5892,Double Lightsaber,87.7%,Experimental Weapon,38.2%,Calmtrooper,246.5,83.4,48.2,Corsavant,Snow,FALSE,72.5,35.0,1
5143,Double Lightsaber,77.4%,Experimental Weapon,38.8%,Calmtrooper,121.1,75.4,71.3,Nabira,Clear,FALSE,86.2,29.4,1
8882,Ancient Jedai Blade,72.9%,Heavy Blaster,74.2%,Jedai,1.8,48.7,67.5,Nabira,Clear,FALSE,65.0,52.9,0
309,Single Lightsaber,51.5%,Standard Blaster,78.7%,Jedai,224.0,24.6,81.6,Tavooine,Snow,TRUE,42.2,76.4,0
1889,Single Lightsaber,53.6%,Standard Blaster,77.4%,Jedai,170.4,26.2,49.8,Eldor,Sandstorm,FALSE,49.0,78.4,0
3956,Double Lightsaber,89.9%,Experimental Weapon,46.0%,Calmtrooper,8.5,83.3,78.1,Tavooine,Storm,FALSE,86.9,38.7,1
2965,Single Lightsaber,53.8%,Standard Blaster,78.1%,Both,103.4,19.6,86.4,Eldor,Storm,FALSE,38.3,71.7,0
2041,Single Lightsaber,53.5%,Standard Blaster,79.7%,Jedai,64.1,28.3,63.9,Tavooine,Sandstorm,TRUE,42.5,65.3,0
5985,Double Lightsaber,84.6%,Experimental Weapon,43.1%,Calmtrooper,192.5,93.5,39.1,Mustran,Clear,TRUE,70.8,33.7,1
1326,Single Lightsaber,45.0%,Standard Blaster,75.2%,Both,233.0,28.3,59.4,Nabira,Snow,FALSE,43.1,79.8,0
4699,Double Lightsaber,91.2%,Experimental Weapon,41.8%,Calmtrooper,159.6,83.2,56.3,Mustran,Sandstorm,FALSE,79.7,28.7,1
5526,Double Lightsaber,84.6%,Experimental Weapon,37.1%,Calmtrooper,148.0,82.2,39.9,Hroth,Storm,TRUE,80.0,22.6,1
7137,Ancient Jedai Blade,64.1%,Heavy Blaster,53.2%,Jedai,48.6,57.6,49.8,Nabira,Snow,TRUE,67.6,65.4,1
1923,Single Lightsaber,48.7%,Standard Blaster,74.7%,Jedai,200.3,44.5,65.5,Kamira,Clear,FALSE,47.2,59.0,0
