SampleID,departure_time,distance_km,avg_speed_kmh,num_stops,weather,weekday,special_events,num_cars,ticket_price,comfort_class,delay_minutes
4227,02:58,788.12,103.94,2,sunny,Fri,0,3,61.463730784687314,intermediate,11
4676,05:19,408.42,96.6,7,sunny,Sat,0,13,125.0584386725755,premium,17
800,18:44,440.24,92.54,1,sunny,Sun,0,12,178.79725509894837,standard,0
3671,06:27,345.01,104.57,5,sunny,Sat,0,11,137.30480686921567,standard,5
4193,22:09,729.77,82.12,7,sunny,Wed,0,6,193.31412429661412,premium,27
2968,21:48,490.77,48.22,9,sunny,Sun,0,6,127.49659080537805,standard,20
4793,02:57,579.21,69.82,5,sunny,Sat,0,12,117.22611124713876,intermediate,21
4368,13:58,719.93,111.83,4,sunny,Mon,0,6,54.2238122929343,standard,15
2776,14:25,430.08,86.51,6,rain,Sat,0,3,116.45618289495205,standard,18
2970,02:25,202.79,87.46,0,sunny,Mon,0,6,129.42090721699273,standard,0
3867,22:59,188.03,115.73,0,sunny,Sat,0,6,103.76045514444994,intermediate,0
1743,16:35,544.57,100.93,8,rain,Fri,0,3,140.00726625226037,standard,15
3948,06:34,151.91,88.23,6,snow,Sat,0,13,192.467749691795,intermediate,20
3802,02:47,198.81,62.29,7,sunny,Thu,1,12,137.56937041444039,standard,31
2024,16:12,125.56,91.58,5,snow,Mon,0,7,98.3162084159636,intermediate,25
2274,23:36,681.08,57.59,5,fog,Tue,0,3,198.56148194036052,premium,27
99,11:48,89.02,99.69,7,snow,Sun,0,4,155.45275822268383,standard,17
4921,14:45,283.28,87.15,3,sunny,Fri,0,5,70.90400856119494,standard,1
3407,12:08,374.3,83.73,3,rain,Thu,0,12,24.176473504668834,premium,17
4245,20:07,403.31,54.61,9,rain,Wed,1,10,183.7436497349175,standard,40
4619,00:04,478.9,76.84,4,sunny,Tue,0,5,123.24547962898585,standard,11
4916,01:23,198.58,53.81,8,snow,Sat,0,8,27.46591165099282,premium,38
191,08:00,350.73,92.89,0,rain,Fri,0,14,147.79972290263257,standard,15
4696,10:59,196.57,100.62,4,rain,Thu,1,7,172.5875692803415,standard,16
1784,21:52,130.24,106.0,7,sunny,Sun,0,6,125.5947303652489,intermediate,8
